id,Created (UTC),Active,Currency,Url,Allow Promotion Codes,Automatic Tax,Billing Address Collection,Shipping Address Collection Countries,Phone Number Collection,After Completion Type,Name
plink_0TQg8F7x2xpn4NXpqTnDO0mg,2026-04-27 03:46,true,usd,https://buy.stripe.com/14A145fmk3LIbeU56Sa3u02,false,false,auto,,false,redirect,Monthly - $129
plink_0TQg7H7x2xpn4NXpLKMR81xD,2026-04-27 03:45,true,usd,https://buy.stripe.com/8x2fYZ1vuaa6fvaeHsa3u01,false,false,auto,,false,redirect,Week Pass - $49
plink_0TQg5o7x2xpn4NXpfJ9SXdse,2026-04-27 03:44,true,usd,https://buy.stripe.com/5kQ5klb64beagze9n8a3u00,false,false,auto,,false,redirect,Day Pass - $29
